Sl.No,District,HUD,Block,Hospital,Type,LandLine,Mobile_No,Coordinates (lattitude;Longitude)
1,Pudukottai,Pudukottai,ARANTHANGI,ARANTHANGI,Taluk,4371270544,9361483310,-
2,Pudukottai,Pudukottai,Gandharvakottai,Gandharvakottai,Taluk,4322275179,9361483312,-
3,Pudukottai,Pudukottai,Avudaiyarkoil,Avudaiyarkoil,Taluk,4371233400,9361483311,-
4,Pudukottai,Pudukottai,Manalmelkudi,Manalmelkudi,Taluk,4371250010,9361483315,-
5,Pudukottai,Aranthangi,Karambakudi,Malayur,UG / Main,4322290466,9361483542,10.428064; 78.933215
6,Pudukottai,Aranthangi,Karambakudi,Karambakudi,Additional PHC,4322258058,9361483540,10.457251; 79.140512
7,Pudukottai,Aranthangi,Karambakudi,Ragunathapuram,Additional PHC,4322293193,9361483544,10.559287; 79.122763
8,Pudukottai,Aranthangi,Karambakudi,Kottaikadu,Additional PHC,4322291806,9361483541,10.405052; 79.081063
9,Pudukottai,Aranthangi,Karambakudi,Papparapatti,Additional PHC,4322254396,9361483543,10.549415; 79.143226
10,Pudukottai,Aranthangi,Karambakudi,Vannakankadu,Additional PHC,4322291805,9361483545,10.371438; 79.073217
11,Pudukottai,Aranthangi,Gandharvakottai,Pudunagar,UG / Main,4322275485,9361483538,10.618894; 79.040916
12,Pudukottai,Aranthangi,Gandharvakottai,Vellalaviduthi,Additional PHC,4322293175,9361483539,10.464623; 79.025298
13,Pudukottai,Aranthangi,Thiruvarankulam,Thiruvarankulam,Main PHC,4322242099,9361483554,10.358715; 78.876239
14,Pudukottai,Aranthangi,Thiruvarankulam,Keeramangalam,UG ,4371242547,9361483551,10.289803; 79.094918
15,Pudukottai,Aranthangi,Thiruvarankulam,Kothamangalam,Additional PHC,4322291812,9361483552,10.325686; 79.034607
16,Pudukottai,Aranthangi,Thiruvarankulam,Vallatharakottai,Additional PHC,4322242300,9361483556,10.325327; 78.887462
17,Pudukottai,Aranthangi,Thiruvarankulam,Vadakadu,UG ,4322291786,9361483555,10.342996; 79.05815
18,Pudukottai,Aranthangi,Thiruvarankulam,Arayapatty,Additional PHC,4322291726,9361483550,10.30741; 78.080535
